Time	Target	Distance	Bearing
===========================================
0	0	21,095	174,565
0	1	28,6007	126,473
0	2	39,8121	78,4101
0	3	16,4924	284,034
0	4	35,2278	34,5933
0	5	36,6742	115,87
0	6	49	0
0	7	25,4951	191,305
0	8	32,5576	317,488
0	9	39,3192	277,303
0	10	46,3249	122,665
0	11	41,2311	112,837
0	15	39,4081	144,298
0	16	46,0435	235,616
0	17	43,7379	10,5395
0	18	43,6807	344,054
0	19	30,4795	221,005
0	20	24,4131	145,012
0	21	41,0488	34,0782
0	22	44,6542	124,05
0	23	44,7214	190,3
0	25	21,2132	135,004
===========================================
0,1	0	21,6024	173,01
0,1	1	29,3307	126,712
0,1	2	40,4918	79,4176
0,1	3	16,5291	283,565
0,1	4	35,381	34,1559
0,1	5	37,3761	114,879
0,1	6	48,8368	359,521
0,1	7	25,7267	191,732
0,1	8	32,6794	317,408
0,1	9	38,5679	278,159
0,1	10	46,7682	122,438
0,1	11	41,2229	113,796
0,1	15	38,7629	143,442
0,1	16	44,9746	235,678
0,1	17	43,387	10,3848
0,1	18	43,0756	343,447
0,1	19	29,6521	220,115
0,1	20	23,5673	143,447
0,1	21	41,9438	33,948
0,1	22	44,4495	123,844
0,1	23	44,373	190,022
0,1	25	20,5936	135,064
===========================================
0,2	0	22,1249	171,528
0,2	1	30,081	126,946
0,2	2	41,1837	80,3914
0,2	3	16,5238	283,632
0,2	4	35,4659	33,9177
0,2	5	38,0283	114,004
0,2	6	48,6556	358,974
0,2	7	25,9908	192,206
0,2	8	32,8201	317,317
0,2	9	37,8255	279,048
0,2	10	47,3234	122,161
0,2	11	41,2283	114,949
0,2	15	38,1993	142,661
0,2	16	43,9058	235,744
0,2	17	43,0555	10,2362
0,2	18	42,4756	342,822
0,2	19	28,8323	219,175
0,2	20	22,7403	141,766
0,2	21	42,8391	33,8233
0,2	22	44,2453	123,636
0,2	23	44,0765	189,781
0,2	25	20,0939	135,116
===========================================
0,3	0	22,6616	170,115
0,3	1	30,8516	127,174
0,3	2	41,887	81,3329
0,3	3	16,477	284,236
0,3	4	35,481	33,8758
0,3	5	38,628	113,235
0,3	6	48,4579	358,355
0,3	7	26,2881	192,725
0,3	8	32,9795	317,215
0,3	9	37,0926	279,973
0,3	10	47,991	121,836
0,3	11	41,2558	116,297
0,3	15	37,7149	141,962
0,3	16	42,8371	235,812
0,3	17	42,7431	10,0939
0,3	18	41,8807	342,179
0,3	19	28,0206	218,179
0,3	20	21,9344	139,96
0,3	21	43,7345	33,7037
0,3	22	44,0417	123,426
0,3	23	43,8314	189,579
0,3	25	19,7142	135,157
===========================================
0,4	0	23,2114	168,768
0,4	1	31,6423	127,396
0,4	2	42,6013	82,243
0,4	3	16,3937	285,385
0,4	4	35,4259	34,0297
0,4	5	39,1727	112,564
0,4	6	48,2456	357,665
0,4	7	26,6192	193,285
0,4	8	33,1579	317,101
0,4	9	36,3697	280,934
0,4	10	48,7717	121,469
0,4	11	41,3152	117,835
0,4	15	37,3073	141,353
0,4	16	41,7684	235,884
0,4	17	42,45	9,95839
0,4	18	41,2913	341,518
0,4	19	27,218	217,125
0,4	20	21,1519	138,019
0,4	21	44,6301	33,5888
0,4	22	43,8387	123,214
0,4	23	43,6374	189,417
0,4	25	19,4544	135,186
===========================================
0,5	0	23,7734	167,484
0,5	1	32,4533	127,613
0,5	2	43,326	83,1228
0,5	3	16,2834	287,095
0,5	4	35,3017	34,3812
0,5	5	39,6604	111,985
0,5	6	48,021	356,901
0,5	7	26,9846	193,882
0,5	8	33,3551	316,977
0,5	9	35,6575	281,934
0,5	10	49,6663	121,064
0,5	11	41,4177	119,561
0,5	15	36,9744	140,842
0,5	16	40,6998	235,96
0,5	17	42,1759	9,82989
0,5	18	40,7075	340,838
0,5	19	26,4251	216,007
0,5	20	20,3956	135,931
0,5	21	45,5259	33,4785
0,5	22	43,6364	123
0,5	23	43,4943	189,296
0,5	25	19,3145	135,202
===========================================
0,6	0	24,3469	166,26
0,6	1	33,2846	127,824
0,6	2	44,0605	83,9736
